origin,M49,alpha-2,alpha-3,region,sub-region,intermediate-region,year,total_migrants,female_migrants,male_migrants,pct_female_migrants,pct_male_migrants,remittance_inflows,gdp_per_capita,total_population,Gini_index,homicides_per_100k_population,exposure_to_droughts,climate_risk_index,migration_rate,weighted_avg_dest_gdp
Anguilla,660,AI,AIA,Americas,Latin America and the Caribbean,Caribbean,1990,0.002262,0.001096,0.001166,48.45269672855879,51.547303271441194,,,,,,,,,
Anguilla,660,AI,AIA,Americas,Latin America and the Caribbean,Caribbean,1995,0.002205,0.0010659999999999999,0.001139,48.34467120181405,51.65532879818594,,,,,,,,,
Anguilla,660,AI,AIA,Americas,Latin America and the Caribbean,Caribbean,2000,0.002158,0.001044,0.001114,48.378127896200176,51.6218721037998,,,,,,,,,
Anguilla,660,AI,AIA,Americas,Latin America and the Caribbean,Caribbean,2005,0.0017759999999999998,0.00086,0.0009159999999999999,48.42342342342343,51.576576576576585,,,,,,,,,
Anguilla,660,AI,AIA,Americas,Latin America and the Caribbean,Caribbean,2010,0.001719,0.000825,0.0008939999999999999,47.99301919720767,52.00698080279231,,,,,,,,,
Anguilla,660,AI,AIA,Americas,Latin America and the Caribbean,Caribbean,2015,0.001572,0.000748,0.000824,47.58269720101781,52.41730279898218,,,,,,,,,
Anguilla,660,AI,AIA,Americas,Latin America and the Caribbean,Caribbean,2020,0.0015609999999999999,0.000736,0.000825,47.149263292761056,52.85073670723895,,,,,,,,,
Anguilla,660,AI,AIA,Americas,Latin America and the Caribbean,Caribbean,2024,0.001614,0.0007639999999999999,0.00085,47.3358116480793,52.66418835192069,,,,,,,,,13681.115211810466
Antigua and Barbuda,28,AG,ATG,Americas,Latin America and the Caribbean,Caribbean,1990,0.0073679999999999995,0.004071,0.003297,55.25244299674268,44.747557003257334,,7590.754424230465,0.063066,,,,,11.682998763200457,
Antigua and Barbuda,28,AG,ATG,Americas,Latin America and the Caribbean,Caribbean,1995,0.0077919999999999994,0.004305,0.0034869999999999996,55.24897330595483,44.75102669404517,,9034.475529071433,0.068189,,,,,11.427063016028978,
Antigua and Barbuda,28,AG,ATG,Americas,Latin America and the Caribbean,Caribbean,2000,0.008296999999999999,0.0045769999999999995,0.0037199999999999998,55.164517295407975,44.835482704592025,25.00427688712097,12027.494976822189,0.07491199999999999,,,,,11.075662110209311,
Antigua and Barbuda,28,AG,ATG,Americas,Latin America and the Caribbean,Caribbean,2005,0.007977999999999999,0.00436,0.0036179999999999997,54.65028829280523,45.34971170719479,29.01812069238904,14368.570879605784,0.079611,,,,,10.021228222230596,
Antigua and Barbuda,28,AG,ATG,Americas,Latin America and the Caribbean,Caribbean,2010,0.008143000000000001,0.004432,0.003711,54.427115313766414,45.572884686233564,28.92421180346212,15217.39507909222,0.08532,,,,,9.54406938584154,
